date,field,units,ensemble_et,month,year,field_id
2023-01-01,21106019552,in,0.9490944881889765,1,2023,21106019552
2023-02-01,21106019552,in,1.0411417322834646,2,2023,21106019552
2023-03-01,21106019552,in,1.5814566929133858,3,2023,21106019552
2023-04-01,21106019552,in,1.3420866141732284,4,2023,21106019552
2023-05-01,21106019552,in,5.156181102362206,5,2023,21106019552
2023-06-01,21106019552,in,5.9833070866141735,6,2023,21106019552
2023-07-01,21106019552,in,5.9408661417322834,7,2023,21106019552
2023-08-01,21106019552,in,4.481181102362205,8,2023,21106019552
2023-09-01,21106019552,in,3.738188976377953,9,2023,21106019552
2023-10-01,21106019552,in,1.8591732283464568,10,2023,21106019552
2023-11-01,21106019552,in,0.9866535433070867,11,2023,21106019552
2023-12-01,21106019552,in,0.4589763779527559,12,2023,21106019552
2023-01-01,21106019813,in,0.7600787401574804,1,2023,21106019813
2023-02-01,21106019813,in,0.7335433070866143,2,2023,21106019813
2023-03-01,21106019813,in,1.4713385826771654,3,2023,21106019813
2023-04-01,21106019813,in,2.789015748031496,4,2023,21106019813
2023-05-01,21106019813,in,5.478031496062992,5,2023,21106019813
2023-06-01,21106019813,in,5.67248031496063,6,2023,21106019813
2023-07-01,21106019813,in,5.852874015748032,7,2023,21106019813
2023-08-01,21106019813,in,5.4656299212598425,8,2023,21106019813
2023-09-01,21106019813,in,3.717086614173229,9,2023,21106019813
2023-10-01,21106019813,in,2.7600393700787405,10,2023,21106019813
2023-11-01,21106019813,in,1.2703937007874018,11,2023,21106019813
2023-12-01,21106019813,in,0.530236220472441,12,2023,21106019813
2023-01-01,21106017442,in,0.8458661417322835,1,2023,21106017442
2023-02-01,21106017442,in,1.2701181102362207,2,2023,21106017442
2023-03-01,21106017442,in,1.8506692913385827,3,2023,21106017442
2023-04-01,21106017442,in,3.5190157480314963,4,2023,21106017442
2023-05-01,21106017442,in,5.441811023622048,5,2023,21106017442
2023-06-01,21106017442,in,6.174015748031496,6,2023,21106017442
2023-07-01,21106017442,in,6.846889763779528,7,2023,21106017442
2023-08-01,21106017442,in,4.680787401574803,8,2023,21106017442
2023-09-01,21106017442,in,2.7000393700787404,9,2023,21106017442
2023-10-01,21106017442,in,1.7731496062992125,10,2023,21106017442
2023-11-01,21106017442,in,0.7712992125984253,11,2023,21106017442
2023-12-01,21106017442,in,0.5831496062992126,12,2023,21106017442
2023-01-01,21106017807,in,0.7264566929133859,1,2023,21106017807
2023-02-01,21106017807,in,0.9021653543307087,2,2023,21106017807
2023-03-01,21106017807,in,1.2046062992125985,3,2023,21106017807
2023-04-01,21106017807,in,2.95996062992126,4,2023,21106017807
2023-05-01,21106017807,in,5.126850393700788,5,2023,21106017807
2023-06-01,21106017807,in,5.574212598425198,6,2023,21106017807
2023-07-01,21106017807,in,6.349212598425198,7,2023,21106017807
2023-08-01,21106017807,in,4.856023622047244,8,2023,21106017807
2023-09-01,21106017807,in,2.997637795275591,9,2023,21106017807
2023-10-01,21106017807,in,1.81496062992126,10,2023,21106017807
2023-11-01,21106017807,in,0.7965354330708662,11,2023,21106017807
2023-12-01,21106017807,in,0.4803937007874016,12,2023,21106017807
2023-01-01,21106016526,in,0.6030708661417323,1,2023,21106016526
2023-02-01,21106016526,in,0.9069685039370079,2,2023,21106016526
2023-03-01,21106016526,in,0.6458267716535433,3,2023,21106016526
2023-04-01,21106016526,in,1.307716535433071,4,2023,21106016526
2023-05-01,21106016526,in,1.3268897637795278,5,2023,21106016526
2023-06-01,21106016526,in,2.132677165354331,6,2023,21106016526
2023-07-01,21106016526,in,2.9556299212598423,7,2023,21106016526
2023-08-01,21106016526,in,2.1967716535433075,8,2023,21106016526
2023-09-01,21106016526,in,1.6065748031496065,9,2023,21106016526
2023-10-01,21106016526,in,1.3253543307086615,10,2023,21106016526
2023-11-01,21106016526,in,0.697244094488189,11,2023,21106016526
2023-12-01,21106016526,in,0.4431102362204725,12,2023,21106016526
2023-01-01,21106020454,in,0.8931496062992127,1,2023,21106020454
2023-02-01,21106020454,in,0.8574409448818898,2,2023,21106020454
2023-03-01,21106020454,in,1.5491338582677165,3,2023,21106020454
2023-04-01,21106020454,in,1.7903149606299211,4,2023,21106020454
2023-05-01,21106020454,in,4.825157480314961,5,2023,21106020454
2023-06-01,21106020454,in,5.581259842519685,6,2023,21106020454
2023-07-01,21106020454,in,4.828110236220473,7,2023,21106020454
2023-08-01,21106020454,in,3.495236220472441,8,2023,21106020454
2023-09-01,21106020454,in,2.9248425196850394,9,2023,21106020454
2023-10-01,21106020454,in,1.6994094488188978,10,2023,21106020454
2023-11-01,21106020454,in,0.8828740157480316,11,2023,21106020454
2023-12-01,21106020454,in,0.43807086614173235,12,2023,21106020454
2023-01-01,21106018002,in,0.6003937007874016,1,2023,21106018002
2023-02-01,21106018002,in,1.0525984251968505,2,2023,21106018002
2023-03-01,21106018002,in,0.9928346456692914,3,2023,21106018002
2023-04-01,21106018002,in,2.498425196850394,4,2023,21106018002
2023-05-01,21106018002,in,4.84244094488189,5,2023,21106018002
2023-06-01,21106018002,in,5.5961811023622055,6,2023,21106018002
2023-07-01,21106018002,in,5.757795275590551,7,2023,21106018002
2023-08-01,21106018002,in,4.569370078740158,8,2023,21106018002
2023-09-01,21106018002,in,2.80736220472441,9,2023,21106018002
2023-10-01,21106018002,in,1.923267716535433,10,2023,21106018002
2023-11-01,21106018002,in,0.932007874015748,11,2023,21106018002
2023-12-01,21106018002,in,0.46062992125984253,12,2023,21106018002
2023-01-01,21106017440,in,0.7089763779527559,1,2023,21106017440
2023-02-01,21106017440,in,0.898740157480315,2,2023,21106017440
2023-03-01,21106017440,in,0.9531102362204725,3,2023,21106017440
2023-04-01,21106017440,in,2.6631102362204726,4,2023,21106017440
2023-05-01,21106017440,in,4.901692913385827,5,2023,21106017440
2023-06-01,21106017440,in,4.883700787401575,6,2023,21106017440
2023-07-01,21106017440,in,5.84232283464567,7,2023,21106017440
2023-08-01,21106017440,in,4.486181102362205,8,2023,21106017440
2023-09-01,21106017440,in,2.822992125984252,9,2023,21106017440
2023-10-01,21106017440,in,1.5093307086614176,10,2023,21106017440
2023-11-01,21106017440,in,0.7813385826771654,11,2023,21106017440
2023-12-01,21106017440,in,0.3859055118110236,12,2023,21106017440
2023-01-01,21106017492,in,0.7677559055118112,1,2023,21106017492
2023-02-01,21106017492,in,0.9723622047244095,2,2023,21106017492
2023-03-01,21106017492,in,1.3301574803149607,3,2023,21106017492
2023-04-01,21106017492,in,3.066889763779528,4,2023,21106017492
2023-05-01,21106017492,in,4.598937007874016,5,2023,21106017492
2023-06-01,21106017492,in,5.01496062992126,6,2023,21106017492
2023-07-01,21106017492,in,4.560314960629921,7,2023,21106017492
2023-08-01,21106017492,in,3.2616929133858266,8,2023,21106017492
2023-09-01,21106017492,in,1.682952755905512,9,2023,21106017492
2023-10-01,21106017492,in,1.3566535433070868,10,2023,21106017492
2023-11-01,21106017492,in,0.5234645669291339,11,2023,21106017492
2023-12-01,21106017492,in,0.40287401574803156,12,2023,21106017492
2023-01-01,21106017880,in,0.4786614173228346,1,2023,21106017880
2023-02-01,21106017880,in,0.8353937007874017,2,2023,21106017880
2023-03-01,21106017880,in,0.8964566929133858,3,2023,21106017880
2023-04-01,21106017880,in,2.5328346456692916,4,2023,21106017880
2023-05-01,21106017880,in,5.466732283464567,5,2023,21106017880
2023-06-01,21106017880,in,5.756889763779528,6,2023,21106017880
2023-07-01,21106017880,in,7.130236220472441,7,2023,21106017880
2023-08-01,21106017880,in,5.915314960629922,8,2023,21106017880
2023-09-01,21106017880,in,3.453267716535433,9,2023,21106017880
2023-10-01,21106017880,in,2.4006692913385828,10,2023,21106017880
2023-11-01,21106017880,in,0.9887007874015749,11,2023,21106017880
2023-12-01,21106017880,in,0.4568503937007874,12,2023,21106017880
2023-01-01,21106021199,in,0.623740157480315,1,2023,21106021199
2023-02-01,21106021199,in,0.30755905511811027,2,2023,21106021199
2023-03-01,21106021199,in,1.1363779527559057,3,2023,21106021199
2023-04-01,21106021199,in,2.661771653543307,4,2023,21106021199
2023-05-01,21106021199,in,5.4950787401574805,5,2023,21106021199
2023-06-01,21106021199,in,4.88988188976378,6,2023,21106021199
2023-07-01,21106021199,in,6.181417322834647,7,2023,21106021199
2023-08-01,21106021199,in,4.604055118110236,8,2023,21106021199
2023-09-01,21106021199,in,3.80751968503937,9,2023,21106021199
2023-10-01,21106021199,in,1.9251574803149607,10,2023,21106021199
2023-11-01,21106021199,in,0.7372834645669292,11,2023,21106021199
2023-12-01,21106021199,in,0.4633464566929134,12,2023,21106021199
2023-01-01,21106019808,in,0.7576377952755906,1,2023,21106019808
2023-02-01,21106019808,in,0.9704724409448819,2,2023,21106019808
2023-03-01,21106019808,in,1.0788976377952757,3,2023,21106019808
2023-04-01,21106019808,in,3.3841338582677163,4,2023,21106019808
2023-05-01,21106019808,in,5.670196850393701,5,2023,21106019808
2023-06-01,21106019808,in,5.101417322834646,6,2023,21106019808
2023-07-01,21106019808,in,7.171889763779528,7,2023,21106019808
2023-08-01,21106019808,in,5.769527559055118,8,2023,21106019808
2023-09-01,21106019808,in,3.5555905511811026,9,2023,21106019808
2023-10-01,21106019808,in,2.5969685039370076,10,2023,21106019808
2023-11-01,21106019808,in,0.9980708661417323,11,2023,21106019808
2023-12-01,21106019808,in,0.4919685039370079,12,2023,21106019808
